mig_abs_nearest, mig_abs_ot
 0.613,  0.924
 1.002,  1.220
 1.067,  1.193
 1.188,  3.051
 0.803,  0.937
 1.047,  1.276
 0.617,  0.654
 1.029,  1.086
 1.105,  1.275
 1.774,  1.931
 0.331,  0.649
 0.925,  1.036
 1.784,  1.891
 1.802,  1.919
 1.111,  0.987
 0.427,  0.473
 1.895,  2.030
 0.942,  1.046
 2.492,  2.514
 1.572,  1.689
 2.297,  2.376
 3.407,  3.497
 2.451,  2.818
 1.394,  1.430
 1.919,  1.953
 0.792,  0.939
 1.142,  1.318
 1.354,  1.608
 2.585,  3.946
 2.514,  2.611
 1.451,  1.585
 1.358,  1.493
 2.062,  2.193
 2.311,  2.388
 0.971,  1.227
 2.544,  2.911
 0.496,  1.023
 0.970,  1.184
 2.908,  2.876
 1.008,  1.195
 1.385,  1.531
 1.088,  1.211
 0.561,  0.690
 3.092,  3.312
 0.894,  1.062
 1.973,  2.075
 0.954,  1.019
 3.679,  3.899
 4.569,  5.146
 2.216,  2.622
 1.841,  2.417
 2.932,  4.019
 1.276,  1.510
 2.377,  2.638
 3.400,  3.297
 3.504,  3.503
 2.266,  2.245
 1.768,  2.067
 0.879,  1.009
 0.770,  0.837
 1.529,  1.632
 2.411,  2.524
 1.776,  2.246
 1.270,  1.491
 4.180,  4.181
 2.020,  2.642
 1.900,  1.951
 1.922,  2.457
 0.855,  0.903
 1.468,  1.510
 1.371,  1.441
 1.402,  1.469
 3.398,  3.354
 1.544,  2.351
 0.411,  1.294
 0.831,  0.804
 0.934,  1.107
 1.516,  1.913
 1.664,  1.836
 1.737,  1.771
 4.226,  4.387
 1.266,  1.428
 2.211,  2.981
 1.645,  1.797
 2.303,  2.418
 0.792,  1.806
 2.104,  2.160
 1.543,  1.681
 1.482,  1.614
 1.442,  1.509
 2.828,  2.820
 1.815,  1.933
 3.761,  3.926
 2.591,  2.746
 2.018,  2.038
 2.322,  2.124
 1.256,  1.309
 1.935,  2.116
 0.953,  1.025
 1.660,  1.709
 0.637,  0.737
 1.648,  1.709
 0.732,  0.799
 0.740,  1.009
 1.631,  1.703
 0.897,  1.005
 0.574,  0.629
 0.554,  0.633
 2.370,  2.977
 1.000,  1.074
 1.442,  1.472
 1.426,  1.924
 0.970,  1.098
 1.240,  1.563
 1.549,  1.646
 1.202,  1.278
 2.166,  2.361
 0.886,  1.018
 1.162,  1.565
 7.039,  7.054
 0.800,  1.313
 0.686,  0.850
 3.850,  3.878
 0.906,  1.352
 2.233,  2.443
 1.786,  2.162
 2.527,  2.787
 2.922,  2.942
 4.575,  4.599
 1.335,  1.623
 1.278,  1.553
 2.751,  2.882
 3.309,  3.552
 2.383,  2.696
 2.229,  2.419
 3.049,  3.203
 1.588,  1.684
 0.536,  0.635
 3.130,  3.251
 2.203,  2.613
 1.132,  1.239
 0.526,  0.766
 2.217,  2.452
 0.602,  0.797
 1.485,  1.585
 2.483,  2.515
 1.283,  1.589
 3.943,  4.305
 3.801,  3.765
 2.853,  2.942
 3.438,  3.482
 3.884,  3.987
 2.178,  2.382
 4.066,  4.395
 2.410,  3.154
 1.446,  1.713
 2.472,  3.045
 1.679,  1.784
 2.378,  2.597
 6.328,  6.404
 2.477,  2.800
 1.713,  1.784
 0.835,  0.859
 1.915,  2.020
 0.324,  0.324
 3.659,  3.844
 2.233,  2.347
 1.198,  1.678
 1.347,  1.728
 1.689,  2.185
 3.138,  7.574
 3.170,  3.389
 3.232,  7.765
 2.014,  3.183
 1.943,  2.162
 2.880,  3.053
 2.688,  2.684
 1.128,  1.237
 3.744,  4.028
 2.761,  2.795
 2.035,  2.137
 2.222,  2.234
 0.844,  0.974
 2.951,  3.062
 1.195,  1.291
 1.424,  1.560
 1.407,  1.560
 1.910,  2.213
 3.441,  3.736
 2.314,  2.524
 0.684,  1.147
 1.314,  1.632
 1.337,  1.686
 3.582,  3.691
 1.984,  2.120
 1.962,  2.147
 1.849,  1.898
 2.316,  2.411
 1.062,  1.174
 1.268,  1.395
 1.525,  1.599
 2.483,  2.622
 1.854,  2.372
 0.525,  0.793
 1.131,  1.293
 0.680,  0.814
 1.838,  1.941
 1.030,  1.104
 1.249,  1.374
 2.665,  2.845
 2.949,  3.063
 0.617,  0.686
 1.073,  1.183
 1.106,  1.283
 1.326,  1.540
 0.994,  1.204
 2.118,  2.240
 4.989,  5.352
 1.353,  1.523
 1.011,  1.260
 0.946,  1.165
 3.844,  3.895
 4.242,  4.312
 1.110,  1.326
 1.206,  1.382
 3.606,  3.883
 0.772,  0.995
 1.880,  2.015
 3.881,  3.906
 0.790,  0.968
 1.404,  1.602
 1.199,  1.262
 0.973,  0.962
 2.159,  2.351
 3.260,  3.301
 1.347,  1.486
 1.194,  1.271
 2.807,  4.281
 0.621,  0.839
 0.693,  0.762
 1.136,  1.210
 1.283,  1.518
 1.015,  1.076
 0.640,  0.723
 1.216,  1.308
 1.472,  1.579
 1.100,  1.581
 3.158,  3.358
 2.150,  2.365
 2.217,  2.291
 1.862,  1.983
 1.520,  1.710
 0.615,  0.682
 0.851,  1.045
 1.466,  1.838
 1.736,  1.838
 1.298,  1.382
 1.335,  1.413
 1.184,  1.261
 1.340,  1.385
 3.012,  3.354
 2.328,  2.404
 1.824,  1.891
 1.918,  2.023
 2.241,  2.496
 1.259,  1.391
 1.787,  1.898
 1.773,  4.853
 0.982,  1.242
 2.279,  2.842
 0.913,  1.016
 1.057,  1.225
 1.353,  1.536
 0.601,  1.366
 2.383,  2.508
 2.254,  2.202
 0.919,  1.022
 2.521,  2.698
 1.019,  1.128
 1.183,  1.239
 1.023,  1.182
 1.157,  1.235
 0.975,  1.124
 1.670,  1.961
 0.636,  0.867
 1.610,  1.673
 2.176,  2.274
 3.875,  4.775
 4.180,  4.212
 5.013,  5.044
 0.974,  1.110
 1.234,  1.431
 1.132,  1.314
 5.683,  6.319
 3.321,  4.296
 6.334,  6.757
 9.491,  9.520
 2.309,  2.592
 1.495,  1.640
 0.905,  0.994
 1.817,  1.958
 8.888,  9.317
 1.467,  1.590
 1.177,  1.295
 2.650,  3.206
 1.785,  1.910
 1.287,  1.443
 1.196,  1.465
 1.213,  1.374
 0.604,  0.843
 2.351,  2.596
 1.137,  1.367
 3.513,  3.573
 1.589,  1.745
 1.713,  1.763
 2.730,  2.988
 1.497,  1.604
 0.719,  0.847
 2.036,  2.137
 0.884,  1.013
 2.546,  2.898
 1.419,  1.498
 3.287,  3.294
 1.306,  2.447
 2.867,  3.023
 1.682,  2.060
 3.011,  3.192
 1.129,  1.246
 1.585,  1.627
 0.975,  1.127
 0.418,  0.667
 1.259,  1.432
 1.212,  1.282
 1.386,  1.411
 0.818,  1.256
 0.512,  0.601
 2.248,  2.350
 1.399,  1.427
 1.017,  1.067
 1.752,  2.087
 0.986,  1.111
 1.374,  1.468
 2.048,  2.122
 1.010,  1.518
 2.901,  3.405
 2.490,  2.570
 0.951,  1.180
 1.120,  1.419
 1.677,  2.108
 2.090,  2.255
 2.010,  2.081
 1.578,  1.724
 1.606,  1.719
 4.473,  5.020
 1.404,  1.816
 1.629,  1.913
 1.229,  1.878
 4.873,  5.238
 4.607,  4.786
 2.170,  2.652
 1.840,  1.961
 2.122,  2.756
 0.892,  1.198
 2.220,  2.460
 4.272,  4.184
 4.886,  4.893
 1.889,  2.043
 9.710,  9.598
 3.390,  3.612
 2.895,  3.169
 0.522,  0.573
 0.377,  0.455
 2.518,  2.539
 2.089,  2.179
 2.142,  2.829
 1.060,  1.186
 1.142,  1.472
 2.923,  2.986
 2.177,  2.535
 1.001,  1.182
 0.518,  0.846
 1.638,  1.693
 0.661,  0.731
 1.243,  1.371
 1.776,  1.932
 1.546,  1.591
 3.264,  3.313
 2.876,  3.078
 5.238,  5.410
 0.856,  0.896
 2.200,  2.349
 0.841,  0.891
 1.548,  1.891
 2.840,  3.394
 0.934,  1.104
 0.922,  1.031
 1.388,  1.804
 2.381,  2.590
 4.186,  4.438
 2.123,  2.137
 1.303,  1.480
 0.415,  0.711
 1.485,  1.797
 1.978,  2.222
 0.966,  1.436
 2.947,  3.111
 1.264,  1.400
 0.409,  1.079
 1.927,  2.239
 3.433,  3.825
 2.355,  2.479
 1.291,  1.537
 2.063,  2.139
 3.739,  4.127
 2.614,  3.079
 1.009,  1.185
 1.101,  1.356
 2.644,  2.824
 1.592,  1.686
 1.334,  1.562
 2.071,  2.195
 1.346,  1.563
 1.026,  1.104
 1.029,  1.422
 1.757,  1.885
 1.949,  2.118
 2.998,  3.159
 1.613,  2.112
 2.312,  2.360
 4.907,  5.198
 2.873,  3.118
 6.729, 10.676
 1.497,  1.542
 1.977,  2.254
 1.891,  2.006
 2.074,  2.188
 3.359,  3.743
 3.483,  3.919
 2.095,  2.351
 2.505,  2.787
 3.079,  3.439
 2.719,  2.868
 4.758,  4.898
 2.167,  2.240
 0.658,  0.829
 1.559,  1.835
 0.904,  1.022
 1.027,  1.118
 2.559,  2.683
 1.467,  1.580
 1.093,  1.138
 3.178,  3.245
 1.417,  1.497
 1.936,  2.046
 1.126,  1.223
 2.979,  2.983
 1.388,  1.746
 1.836,  2.111
 2.063,  2.469
 2.253,  3.200
 2.256,  2.578
 1.613,  2.005
 1.467,  1.679
 1.467,  1.673
 2.062,  2.180
 1.484,  1.714
 1.104,  1.297
 0.748,  0.917
 1.297,  1.452
 3.548,  3.578
 1.622,  3.107
 1.780,  2.030
 1.762,  2.283
 1.008,  1.208
 5.174,  5.360
 1.635,  1.738
 1.142,  1.338
 1.580,  1.853
 1.210,  1.282
 1.570,  1.776
 2.208,  2.424
 5.647,  5.725
 4.208,  4.723
 3.503,  3.688
 2.347,  2.699
 2.380,  2.763
 3.598,  4.359
 2.042,  2.180
 1.021,  1.131
 2.201,  2.375
 0.750,  0.973
 2.963,  3.254
 5.245,  6.030
 4.976,  4.708
 2.201,  2.320
 1.073,  1.241
 1.286,  1.423
 0.856,  0.969
 1.866,  2.156
 1.911,  2.213
 2.693,  3.156
 1.164,  1.352
 1.564,  1.542
 1.586,  1.737
 2.687,  2.857
 2.733,  2.971
 1.899,  2.095
 2.711,  2.896
 1.570,  1.838
 1.164,  1.427
 6.462,  6.699
 3.784,  3.995
 1.089,  1.240
 3.497,  6.091
 3.254,  4.744
 1.294,  2.463
 1.743,  2.186
 3.780,  3.797
 0.947,  1.179
 1.979,  2.085
 0.708,  1.164
 3.522,  4.615
 6.130,  6.799
15.315, 18.947
 2.596,  3.386
 0.852,  1.184
11.125, 14.613
 2.464,  2.885
 1.336,  1.435
 2.327,  2.386
 1.542,  1.732
 1.153,  1.190
 0.885,  0.964
 0.792,  0.896
 0.609,  0.728
 0.870,  0.989
 0.838,  0.885
 0.772,  0.876
 0.890,  1.927
 0.490,  0.557
 1.951,  2.523
 4.198,  4.247
 2.402,  2.903
 2.103,  2.289
20.117, 20.928
 0.868,  1.257
 2.874,  3.106
 1.723,  1.868
 1.002,  1.121
 1.474,  1.693
 1.405,  1.832
 2.274,  2.854
 1.902,  1.954
 1.481,  1.636
 0.650,  0.683
 0.950,  1.062
 2.458,  2.538
 2.611,  2.755
 1.802,  1.835
 1.258,  1.633
 1.938,  2.058
 2.202,  2.369
 2.042,  2.449
 2.118,  2.155
 0.645,  0.854
 2.689,  3.594
 1.293,  1.372
 0.818,  1.067
 0.642,  0.715
 0.681,  0.827
 1.386,  1.492
 2.482,  2.569
 1.818,  2.597
 1.185,  1.368
 1.444,  1.879
 2.519,  2.909
 1.831,  2.940
 7.987,  8.009
 0.999,  1.506
 4.629,  4.912
 1.165,  1.206
 0.889,  1.036
 1.389,  1.620
 2.289,  2.351
 1.625,  1.947
 2.564,  2.551
 0.500,  1.337
 1.516,  1.573
