size_diff, size_an4, num_faces_an4
 2.893, 169.999, 29.000
-0.474, 79.561, 11.000
-0.822, 90.611, 15.000
-1.114, 70.176,  9.000
 1.086, 98.992, 14.000
-3.634, 68.229, 12.000
-9.601, 53.584,  8.000
-6.355, 54.188,  6.000
 0.000, 26.757,  6.000
-2.301, 51.874, 10.000
-9.801, 40.311,  4.000
-1.071, 88.023, 14.000
 1.339, 13.308,  2.000
-1.435, 21.908,  2.000
 1.255, 70.372, 13.000
 5.543, 189.024, 43.000
-0.408, 18.802,  3.000
-10.301, 29.870,  6.000
-12.459, 62.147, 10.000
 1.080, 23.509,  4.000
 0.300, 121.159, 15.000
 1.513, 133.736, 14.000
 6.507, 27.416,  6.000
-5.246, 66.552, 13.000
-0.533, 80.690, 13.000
 2.258, 73.351, 12.000
 4.661, 166.124, 39.000
 2.925, 121.177, 23.000
-1.748, 19.463,  5.000
-1.451, 77.524, 11.000
-3.164, 63.279,  6.000
-2.555, 18.572,  4.000
 1.299, 118.541, 19.000
 0.485, 89.269, 15.000
-9.840, 49.483,  8.000
-1.850, 80.928, 12.000
-15.000, 38.509,  7.000
-2.418, 84.603,  9.000
 1.398, 29.665,  6.000
-3.254, 69.256, 11.000
-7.566, 63.314,  8.000
 0.127, 21.739,  3.000
 2.280, 129.023, 21.000
 3.603, 173.239, 34.000
-0.936, 62.710,  6.000
-2.991, 18.688,  4.000
-2.115, 84.377, 12.000
 2.471, 102.063, 16.000
-14.456, 31.777,  6.000
-8.120, 41.125,  8.000
-20.681, 34.843,  6.000
-1.737, 67.428, 12.000
-2.021, 18.859,  4.000
 6.525, 40.162,  8.000
 1.708, 35.654,  7.000
-5.405, 47.576,  9.000
 2.860, 24.147,  6.000
-2.603, 76.718, 11.000
-7.956, 58.169,  7.000
-13.621, 56.005,  8.000
-2.427, 96.716, 14.000
-6.314, 56.050,  7.000
 0.436, 111.505, 20.000
-0.090, 80.492, 12.000
 3.456, 166.816, 27.000
-6.529, 40.187,  7.000
 2.298, 118.351, 20.000
 0.776, 105.290, 15.000
-20.192, 33.940,  7.000
 3.103, 16.622,  3.000
-2.261, 111.795, 15.000
 1.229, 107.278, 17.000
 0.201, 72.850, 14.000
-5.538, 99.422, 18.000
-3.374, 82.017, 12.000
-2.789, 48.243,  9.000
-0.137, 119.505, 21.000
-0.825, 23.581,  7.000
 1.626, 103.241, 13.000
-2.696, 50.695,  6.000
 0.247, 99.611, 12.000
 1.410, 92.344, 14.000
 1.030, 26.386,  5.000
-1.681, 107.136, 15.000
 4.344, 32.594,  5.000
-4.962, 74.549,  9.000
-86.416, 98.332, 22.000
 2.518, 26.299,  5.000
 0.784, 21.696,  4.000
-1.576, 60.076,  8.000
 2.181, 117.849, 17.000
 3.871, 40.174,  7.000
-3.011, 68.298, 13.000
 4.765, 165.607, 33.000
-4.618, 69.222, 11.000
 1.636, 119.511, 14.000
 1.709, 27.864,  5.000
 2.386, 25.269,  3.000
-25.092, 40.789,  7.000
-7.298, 56.248, 12.000
-2.255, 56.634,  8.000
-4.339, 22.910,  3.000
-15.183, 34.592,  8.000
-1.937, 76.312, 10.000
 1.145, 30.249,  8.000
-5.579, 64.720, 11.000
-2.636, 55.689,  6.000
 5.147, 28.671,  5.000
 0.419, 125.432, 15.000
-1.293, 19.568,  3.000
-6.038, 56.678,  8.000
-6.044, 25.237,  6.000
-6.140, 70.404, 10.000
-14.089, 34.893,  7.000
 1.032, 118.426, 18.000
 1.322, 102.320, 17.000
-3.909, 50.308,  7.000
 3.044, 105.930, 19.000
 3.090, 18.859,  4.000
 2.029, 101.172, 17.000
-9.260, 75.049,  7.000
-19.653, 34.843,  7.000
-5.845, 55.336, 10.000
-18.521, 38.194,  4.000
-2.938, 89.568,  9.000
 1.591, 108.411, 19.000
-0.404, 82.226, 10.000
