gsize_diff_an4,gf_diff_an4,f_fnn_diff_an4,fnnf_maxadec_l_m_r,dist_centroid_diff_l_an4
-1.139,     8,11.065,178.518,-0.005
44.934,    28,30.229,-1669.748, 0.484
27.347,    19,22.345,-156.306,-0.004
40.318,    23,24.157,-2111.383,-0.005
39.544,    22,24.965,-2095.445,-0.016
46.839,    28,41.371,-1125.212, 0.004
-3.486,    10,14.577,-2192.750, 0.095
-105.069,   -28,-28.454,375.297, 0.005
55.427,    28,30.943,-2474.613,-0.014
-15.492,    13,16.066,-1060.197,-0.021
 2.778,    18,24.892,1452.419, 0.464
17.973,    20,22.124,-1744.441, 0.299
10.568,    11,14.324,-718.429,-0.048
49.918,    27,31.407,-97.963, 0.100
84.107,    24,26.475,-17.850, 0.583
94.127,    24,24.975,-1533.161, 0.726
40.034,    11,13.333,-255.739, 0.558
104.272,    33,42.136,-26.757, 0.787
51.071,    10,12.250,-12463.643, 0.305
111.599,    35,42.450,-1878.900, 0.873
77.937,    24,27.725,-3117.225, 0.574
68.644,    22,27.850,-12529.829, 0.202
69.217,    21,27.324,-929.543, 0.208
79.119,    27,30.850,-13888.158, 0.415
76.487,    28,33.183,-16338.449, 0.630
101.950,    31,37.961,111.555, 0.716
48.839,    20,22.700,-13879.780, 0.305
94.823,    31,33.628,-13334.489, 0.699
92.910,    30,33.750,-1793.815, 0.667
100.367,    30,34.650,-172.017, 0.748
67.132,    16,19.058,-14229.696, 0.419
62.866,    22,27.572,-13310.885,-0.012
63.599,    24,26.350,-13620.644,-0.011
103.730,    31,33.517,-14018.292, 0.638
19.242,     7, 6.088,-314.437,-0.026
-102.583,   -33,-32.652,272.392,-0.738
-14.170,    -7,-7.245,-221.746,-0.001
-24.632,    -6,-4.977,-291.866,-0.395
-41.880,   -16,-17.684,97.780,-0.033
15.711,     9,19.213,252.403, 0.303
21.560,    12,15.388,-84.207,-0.023
 9.651,     5, 7.338,-98.369, 0.126
13.627,     4, 3.896,62.847,-0.007
27.392,     9,10.338,-81.689, 0.265
-26.537,   -12,-12.826,20.538,-0.084
-4.766,     1, 3.776,1713.851,-0.019
33.193,     5, 8.135,-4012.332,-0.019
-80.849,   -40,-45.270,1523.443,-0.019
11.236,     5,11.730,-328.841, 0.062
-100.931,   -36,-36.954,64.539, 0.005
-46.789,   -13,-15.714,1467.802,-0.037
 0.426,     5, 5.730,1397.151,-0.339
-0.352,     1,-6.791,1221.375,-0.052
 9.875,     4, 0.986,-152.532,-0.084
-12.440,    -1,-3.714,1397.151,-0.125
 9.141,     1, 3.516,-41.297,-0.270
-24.646,    -3,-7.479,1747.459,-0.050
 2.895,     2, 1.619,270.783,-0.023
22.523,     8,12.619,-289.195, 0.016
-0.950,    -2,-7.027,343.342, 0.005
-23.853,    -8,-10.549,474.201,-0.376
-23.164,    -3,-4.917,-67.217,-0.438
-67.531,   -26,-33.495,2298.394,-0.772
-13.612,    -4,-10.667,-84.377,-0.172
-117.526,   -44,-52.233,1007.384,-0.832
-29.689,    -9,-10.000,437.756,-0.378
-40.430,   -10,-18.719,1443.099,-0.572
-17.519,    -8,-14.549,245.574,-0.175
-56.104,   -20,-28.391,2334.839,-0.740
17.220,     3, 5.100,-887.026, 0.399
190.059,    54,80.018,-43714.454, 0.900
149.298,    48,65.351,-7264.926, 0.613
133.939,    41,49.851,-7192.717, 0.539
173.287,    47,54.251,-1734.903, 0.006
192.692,    52,63.951,-7460.711, 0.787
123.372,    39,48.684,-2034.047, 0.007
183.920,    53,63.851,-7149.263, 0.923
187.265,    54,73.351,-3185.624,-0.005
180.488,    51,65.184,-7461.796, 0.898
191.548,    54,71.351,-7512.402,-0.020
163.471,    45,50.518,-4068.973, 0.019
185.337,    51,61.184,-5030.238, 0.935
194.052,    52,63.351,-7344.522, 0.914
188.615,    54,68.351,-8963.608, 0.841
122.077,    37,42.801,-7192.717, 0.020
143.457,    45,54.684,-43730.459, 0.639
131.281,    45,53.768,-9786.748, 0.617
173.305,    51,66.684,-10065.712, 0.302
172.788,    49,56.976,-4355.141, 0.655
155.763,    47,53.851,-4799.319,-0.010
170.352,    48,54.129,-4342.956, 0.004
136.477,    39,45.906,-2036.729, 0.000
115.560,    38,46.088,-9967.826, 0.265
142.874,    42,49.684,-43740.560,-0.004
164.582,    46,54.624,-7127.840, 0.002
10.638,     5, 3.231,-102.257, 0.036
12.972,     6, 6.802,-80.823, 0.342
-17.551,    -5,-6.603,156.631,-0.388
 4.572,     4, 5.897,-117.346, 0.249
-98.078,   -30,-33.304,4016.435,-0.714
-8.877,    -3,-3.832,26.010,-0.502
17.657,     9,15.981,-84.151, 0.323
-30.627,   -12,-14.569,-55.951, 0.009
-29.433,    -8,-9.388,-55.951,-0.390
-25.795,    -1, 4.945,-16.783,-0.469
-23.946,    -5,-3.380,-92.058,-0.129
-66.534,   -10,-10.552,4017.220,-0.541
27.948,     5, 5.282,-5240.700, 0.404
74.084,    21,23.615,-5769.197, 0.793
56.626,    17,21.504,-119.044, 0.692
34.395,     7, 8.457,-65.450, 0.332
55.219,    13,13.308,-5514.285, 0.793
