is_onepiece, not_twin, dist_twin
     1,      1,  0.232
     1,      1,  0.071
     1,      1,  0.135
     1,      1,  0.159
     1,      1,  0.433
     1,      1,  0.387
     1,      1,  0.324
     1,      0,  0.001
     1,      1,  0.192
     1,      1,  0.282
     1,      1,  0.420
     1,      1,  0.347
     1,      0,  0.000
     1,      0,  0.001
     1,      1,  0.260
     1,      1,  0.125
     1,      0,  0.000
     1,      1,  0.385
     1,      1,  0.353
     1,      1,  0.320
     1,      1,  0.529
     1,      1,  0.059
     1,      1,  0.241
     1,      1,  0.378
     1,      0,  0.001
     1,      1,  0.354
     1,      1,  0.093
     0,      1,  0.382
     1,      1,  0.074
     1,      1,  0.455
     1,      0,  0.000
     1,      1,  0.280
     1,      1,  0.281
     1,      1,  0.249
     1,      1,  0.264
     0,      1,  0.461
     1,      1,  0.200
     0,      1,  0.209
     1,      1,  0.370
     1,      1,  0.458
     1,      0,  0.000
     1,      1,  0.324
     0,      1,  0.466
     1,      1,  0.295
     1,      1,  0.456
     1,      1,  0.402
     1,      1,  0.264
     1,      1,  0.241
     1,      1,  0.292
     1,      1,  0.252
     1,      0,  0.001
     0,      1,  0.337
     1,      1,  0.145
     1,      0,  0.002
     1,      1,  0.272
     1,      1,  0.463
     0,      1,  0.416
     1,      1,  0.465
     1,      1,  0.352
     0,      1,  0.417
     1,      1,  0.337
     1,      1,  0.233
     1,      0,  0.002
     1,      1,  0.365
     0,      0,  0.000
     0,      0,  0.001
     1,      0,  0.001
     0,      0,  0.001
     1,      0,  0.001
     1,      1,  0.355
     0,      1,  0.493
     1,      1,  0.353
     1,      1,  0.339
     0,      1,  0.354
     1,      1,  0.306
     1,      1,  0.364
     1,      1,  0.466
     1,      1,  0.320
     1,      1,  0.305
     1,      1,  0.258
     1,      1,  0.350
     1,      1,  0.338
     1,      1,  0.353
     1,      0,  0.000
     1,      1,  0.327
     1,      1,  0.275
     1,      1,  0.344
     1,      1,  0.413
     1,      1,  0.378
     1,      0,  0.001
     1,      1,  0.391
     1,      0,  0.001
     1,      1,  0.200
     1,      1,  0.326
     1,      1,  0.073
     1,      0,  0.002
     1,      1,  0.410
     1,      1,  0.192
     1,      1,  0.384
     1,      1,  0.320
     1,      1,  0.352
     1,      1,  0.213
     0,      1,  0.272
     1,      1,  0.423
     0,      1,  0.212
     0,      1,  0.366
     1,      1,  0.288
     1,      1,  0.103
     1,      0,  0.001
     1,      1,  0.198
     1,      1,  0.376
     1,      1,  0.245
     1,      1,  0.382
     1,      1,  0.384
     1,      1,  0.264
     1,      1,  0.094
     1,      1,  0.296
     1,      1,  0.344
     1,      1,  0.253
     1,      1,  0.353
     1,      1,  0.288
     0,      0,  0.000
     1,      0,  0.001
     0,      1,  0.194
     0,      1,  0.435
     1,      1,  0.266
     1,      1,  0.424
     1,      1,  0.481
     1,      1,  0.396
     0,      1,  0.308
     1,      1,  0.153
     1,      1,  0.277
     0,      1,  0.170
     1,      1,  0.417
     1,      1,  0.193
     1,      1,  0.214
     1,      1,  0.351
     1,      1,  0.475
     1,      1,  0.399
     1,      1,  0.282
     1,      1,  0.294
     1,      0,  0.001
     1,      1,  0.337
     1,      1,  0.203
     0,      1,  0.352
     1,      1,  0.386
     1,      1,  0.353
     1,      1,  0.353
     1,      1,  0.308
     1,      0,  0.001
     1,      1,  0.326
     1,      1,  0.382
     1,      1,  0.372
     1,      1,  0.360
     1,      0,  0.001
     1,      1,  0.222
     1,      1,  0.474
     0,      1,  0.141
     0,      1,  0.414
     0,      1,  0.432
     1,      1,  0.249
     0,      1,  0.136
     1,      1,  0.251
     1,      1,  0.223
     1,      1,  0.533
     1,      0,  0.001
     1,      1,  0.134
     1,      1,  0.352
     1,      1,  0.258
     0,      0,  0.002
     1,      1,  0.274
     1,      1,  0.218
     1,      1,  0.274
     1,      1,  0.451
     1,      1,  0.307
     1,      0,  0.001
     0,      1,  0.454
     1,      1,  0.056
     1,      1,  0.385
     1,      1,  0.229
     1,      1,  0.266
     1,      1,  0.307
     0,      1,  0.279
     1,      1,  0.365
     1,      1,  0.260
     1,      1,  0.241
     1,      1,  0.330
     1,      1,  0.325
     1,      1,  0.347
     1,      1,  0.154
     0,      1,  0.178
     1,      0,  0.001
     1,      1,  0.430
     1,      1,  0.231
     1,      1,  0.402
     1,      1,  0.353
     1,      0,  0.001
     1,      1,  0.212
     1,      1,  0.353
     1,      1,  0.290
     1,      1,  0.310
     1,      1,  0.387
     1,      1,  0.363
     1,      1,  0.345
     1,      1,  0.251
     1,      1,  0.398
     1,      1,  0.318
     1,      0,  0.001
     1,      1,  0.248
     1,      1,  0.517
     1,      1,  0.366
     0,      1,  0.306
     1,      1,  0.319
     1,      1,  0.349
     0,      1,  0.330
     1,      1,  0.388
     1,      1,  0.105
     1,      1,  0.310
     1,      1,  0.386
     1,      1,  0.353
     1,      0,  0.001
     1,      1,  0.289
     1,      1,  0.354
     1,      0,  0.001
     1,      1,  0.358
     1,      1,  0.319
     1,      1,  0.522
     1,      1,  0.182
     1,      1,  0.333
     1,      1,  0.339
     1,      1,  0.248
     1,      1,  0.391
     1,      0,  0.000
     1,      1,  0.223
     0,      1,  0.332
     1,      1,  0.480
     1,      1,  0.349
     1,      1,  0.303
     1,      1,  0.204
     1,      1,  0.149
     1,      1,  0.193
     1,      1,  0.429
     1,      1,  0.252
     1,      1,  0.256
     1,      1,  0.426
     1,      0,  0.001
     1,      1,  0.295
     0,      1,  0.303
     1,      1,  0.134
     1,      1,  0.346
     0,      1,  0.182
     0,      1,  0.426
     0,      1,  0.279
     1,      1,  0.429
     0,      1,  0.123
     1,      1,  0.251
     1,      1,  0.335
     1,      0,  0.000
     0,      1,  0.426
     0,      1,  0.424
     0,      1,  0.411
     1,      1,  0.246
     1,      0,  0.001
     1,      1,  0.331
     1,      1,  0.353
     1,      1,  0.244
     1,      1,  0.143
     1,      1,  0.133
