gsize_diff_an4 ,gf_diff_an4, g_itgcurv_diff_an4, face_itgcurv_an4_left, face_area_an4_m_an5, fnnf_maxdec_r_m_l, fnnf_avgdec_r_m_l, move_left
-12.005, -9.000, 129.007, -8.021, -5.183, 108.349, -8.202,     -1
-10.723, -8.000, -82.860, -23.556, 25.431, 51.584, -15.804,     -1
54.690, 10.000, 230.621, -16.451, -201.054, -94.714,  1.627,      1
16.283, -4.000, 52.014, -4.498, 39.018, -95.882, -6.607,      1
15.349,  0.000,  7.187, -0.701, 28.314, -237.760, -22.876,      1
33.907, 11.000, 110.642, -3.834, -177.043, -514.239, -173.210,      1
-7.001,  1.000,  2.541, -1.624, -214.485, 515.808, -74.893,     -1
-3.139,  2.000, 62.344,  3.517, -16.776, -121.372, -155.009,     -1
 1.952, -1.000, -47.505,  5.032, -50.807, -357.766, -118.978,     -1
 1.066,  2.000, -100.070, -3.475, -133.290, 454.951, 24.476,      1
19.626, 12.000, 233.409, -20.697, -221.845, 129.725, -156.931,     -1
-2.051,  4.000, -80.100,  1.320, -56.079, -153.367, -129.213,     -1
28.672, 12.000, 71.575,  5.147, -46.806, -6299.299, -1721.948,     -1
56.810, 18.000, 657.185, -1.288, -11.190, -322.823, -149.100,      1
-1.557, -3.000, -78.832, -18.472, 44.247, -292.491, -180.132,     -1
-19.920, -6.000, 98.028,  8.855, -18.730, 276.445, -2058.679,     -1
-4.843, -1.000, -99.669,  2.701, -10.855, 228.592, -1082.094,     -1
-19.450, -4.000, 108.204, -0.812, 224.568, 277.389, -1838.507,     -1
-11.963, -3.000, -282.560, 49.070, 126.728, 56.998,  4.477,     -1
101.857, 37.000, 2060.977, 142.357, 182.724, 17.776, 151.790,      1
-20.002, -7.000, -32.410, 16.740, -191.559, 61.430, 419.257,     -1
82.399, 38.000, 1860.508, -5.764, 23.914, -1750.803, -125.804,      1
-20.012, -4.000, 368.727, -66.695, -12.875, -184.864, -87.955,     -1
13.647,  4.000, 147.846, -2.075, 78.432, -211.089, 205.655,      1
33.531,  8.000, 650.731, 106.996, 156.498, -1724.577, -328.178,      1
-29.308, -4.000, 373.377, -20.743, -40.908, -137.791, -98.037,     -1
62.879, 17.000, 974.567, 14.881, -185.754, -1099.816, -202.122,      1
36.755,  4.000, 573.958,  4.302, -83.527, -1073.590, -193.658,      1
-39.676, -8.000, 144.133, -6.402, 27.460, -38.214, -106.912,     -1
21.509, -5.000, 47.462,  3.488, 88.697, -314.790, -143.691,     -1
-15.152, -5.000, 18.932, -14.004, 21.126, 61.430, 75.621,      1
-26.052, -5.000, 306.751,  6.885,  0.763, -147.305, -224.853,     -1
41.025,  8.000, -269.580,  7.814, 162.334, 210.302, 262.125,     -1
-43.038, -11.000, -93.051,  9.121, 262.169, 1056.754, 355.178,      1
-40.484, -6.000, -54.307,  5.470, 37.788, -114.424, -466.110,      1
25.704,  9.000, 61.764, -9.167, 24.964, 369.620, 363.367,      1
11.883,  5.000, -82.686, -30.867, 558.344, 335.934, 114.780,      1
125.318, 80.000, 1162.683, 29.358, 526.724, -485.483, 55.601,      1
 7.047,  4.000, 121.457, -0.760, 107.646, 402.234, 277.391,      1
-4.317, -2.000, -279.917, -0.020, -25.694, 227.180, 148.384,      1
32.005, 14.000, 341.505, -9.536,  3.377, 176.456, 135.867,      1
 5.504,  3.000, -54.072, -36.343, 590.958, 154.706, -4.191,      1
-42.206, -11.000, -130.507,  3.989, 102.615, -765.017, 784.880,      1
-62.618, -12.000, -205.294, 16.187, 31.023, 183.006, 76.317,     -1
 3.644,  7.000, 202.190, 55.037, 36.853, 316.507, 136.329,      1
-17.473,  3.000, -192.304, -3.111, -436.520, 136.458, 318.497,     -1
92.732, 26.000, 1551.367, -3.589, 120.462, -377.585, 17.020,      0
