move_left ,gV_diff_an4, gF_diff_an4 ,gFnnF_diff_an4, gMs_diff_an4, fMs_an4_left, FnnF_A_maxdec, FnnF_A_avgdec, FnnF_fMs_maxdec, FnnF_fMs_avgdec
     1, 64.308, 15.000, 20.811, 536.443,  3.329, -5995.755, -257.089, -244.087, -100.207 
     1, 28.851, 14.000, 15.368, 1407.534, -15.104, -3000.793, -740.810, 384.893, -9.932 
    -1, -53.143, -17.000, -16.008, -464.162,  6.649, 220.317, -14.189, 990.137, 245.942 
    -1, -10.113, -5.000, -5.620, -79.625, -6.066, -56.345, -48.348, -58.346, -12.245 
     0, -71.759, -24.000, -26.700, -476.891, -74.529, 223.903, 87.046, 107.019, -18.529 
    -1, -18.771, -8.000, -5.655, -184.161, -12.352, 130.814, 77.617, 1020.686, 146.153 
    -1, -42.349, -20.000, -22.600, -619.448, -32.809, 210.373, 324.583, -44.966, -33.219 
    -1, -10.642, -13.000, -15.876, -162.454,  7.483, -574.404, -29.853, -24.851, 34.512 
     1, 57.307,  8.000, 10.642, 311.861, -9.108, -695.627, -276.159, -14.320, 28.529 
    -1, -35.073, -15.000, -20.233, -798.178,  1.218, -88.717, -88.448, -159.718, -134.282 
     1, -31.572, -15.000, -13.167, -444.459, -5.001, -68.171, -127.651, 800.095, 394.353 
     1, 44.832,  7.000, 10.922, 142.226, 16.365, -48.393, 291.997, -66.018, -47.291 
     1, 67.260, 13.000, 11.522, -6.322, -1.937, -165.132, 151.953, -282.029, -137.553 
     1, 81.892, 29.000, 32.771, 784.841,  2.725, -490.602, 80.672, -290.003, 37.320 
     1, 34.150,  7.000,  6.633, -43.937, -2.158, -306.455, -209.939, -101.688, -77.166 
     1, 46.527,  7.000,  5.467, -132.136, -61.616, -306.455, 22.072, -101.688, -23.646 
     1, 39.749, 25.000, 25.357, 125.833, 20.813, 32.002, 91.731, 14.086, 494.152 
     1, 21.370,  6.000,  4.637, 262.442, 14.495, 92.973, 67.367, -26.682, -82.241 
    -1, -4.200, -2.000, -4.550, -206.767, -11.875, -16.319, -5.793, -150.629, 44.018 
     1, -5.205, -4.000, -4.467, -153.933, -25.105, -275.624, -148.470, -44.423, -26.577 
    -1, 40.889, 17.000, 14.293, 957.489, 58.676, -310.971, -14.936, -135.218, -61.844 
     0, 12.402,  6.000,  3.012,  4.376,  5.246, 109.468, 179.531, -150.401, -53.142 
    -1, -0.568,  2.000,  1.200, -34.935, -0.539, 52.879, 62.174, -248.600, -122.293 
    -1,  0.205,  3.000,  0.392, -22.346, -70.735, 242.935, 160.076, 53.548, -198.380 
     1, 43.235, 15.000, 10.780, 362.192, 80.249, -79.965, 54.002, 78.066, 182.569 
    -1, 13.642,  2.000,  0.615, 196.959, 35.743, -64.333, -46.033, -165.166, -81.108 
    -1, -10.555,  1.000, -0.583, 64.846, -11.703, -48.336, -38.804,  7.726, -29.291 
