da_len_w_an4_l, da_len_w_an4_r, da_len_w_an4_opp, da_num_w_an4_l, da_num_w_an4_r, da_num_w_an4_opp, A_an4, fMs_an4, avg_FabsavgH_an4, C_an4, CnnC_an4, da_len_w_diff_l, da_len_w_diff_r, da_len_w_diff_opp, da_num_w_diff_l, da_num_w_diff_r, da_num_w_diff_opp, A_diff, fMs_diff, avg_FabsavgH_diff, C_diff, CnnC_diff
126.609, 141.444, 100.257, 134.866, 129.031, 96.103, 242.040, 46.561,  0.192, 10.000,  3.250, -11.272, -11.595, 14.558, -14.524,  0.506, 14.018, 23.730, -21.459, -0.904, -2.000, -2.450
126.400, 113.220, 122.230, 124.062, 115.718, 120.220, 167.488,  7.137,  0.043,  7.000, -0.357, -12.886, 20.155, -13.587, -9.411, 20.009, -10.598, 56.583, -0.955, -0.017, -3.000, -5.018
121.201, 139.935, 100.078, 119.206, 138.824, 101.969, 163.500,  8.120,  0.050,  5.000, -0.600, -3.494,  7.384,  0.496, -5.639,  9.307, -3.668, 22.700, -2.596, -0.114, -1.000, -3.150
116.643, 131.885, 111.473, 113.916, 130.697, 115.388, 89.409,  9.664,  0.108,  5.000, -1.875, 23.580, -15.749, -7.830, 26.307, -14.562, -11.745, -67.157,  8.129, -0.121, -1.000, -0.958
134.571, 97.490, 135.580, 131.177, 96.923, 131.899, 629.876, 99.257,  0.158,  7.000,  0.786,  7.163, -18.663, 12.022,  1.545, -19.681, 18.136, -87.868, -60.270,  0.686, -2.000, -4.452
146.037, 112.357, 101.579, 143.936, 120.843, 95.221, 66.112, 20.263,  0.306,  4.000, -3.250, -4.774,  2.364,  8.169,  2.868, -4.934,  2.066, -10.594, -17.491,  1.651,  1.000, -0.583
112.731, 107.640, 139.629, 109.507, 117.556, 132.937, 775.242, 102.487,  0.132,  4.000, -1.500, 18.583, -15.264, -3.319, 14.734, -4.760, -9.974, -409.244, -95.387,  0.233,  0.000, -0.875
112.717, 122.585, 125.623, 116.140, 122.881, 120.979, 1422.975, 128.303,  0.090,  4.000, -2.500, -6.568, -2.833,  8.476, -3.339, -9.129, 12.468, -312.524, -101.793,  0.326,  0.000, -1.000
127.993, 120.687, 112.204, 130.951, 118.948, 110.101, 2261.640, 246.187,  0.109,  5.000, -0.600, -15.006, -6.396, 20.518, -17.079,  0.060, 17.019, -260.801, -176.202,  0.676,  2.000,  1.100
131.371, 120.918, 107.137, 132.820, 122.451, 104.729, 994.578, 112.364,  0.113,  9.000,  3.375, -10.183,  0.363, 11.716, -4.356, -2.973,  7.329, 130.396, -95.837, -0.735, -3.000, -3.125
110.307, 109.124, 136.687, 112.248, 114.895, 132.856, 39.441, 143.226,  3.631,  5.000, -1.300, 13.583, 22.273, -33.013, 14.403, 17.029, -31.433, -35.955, -143.226,  3.984, -2.000, -3.200
