move_left ,gV_diff_an4, gF_diff_an4 ,gFnnF_diff_an4, gMs_diff_an4, fMs_an4_left, FnnF_A_maxdec, FnnF_A_avgdec, FnnF_fMs_maxdec, FnnF_fMs_avgdec
     0, 40.889, 17.000, 14.293, 173.214,  4.821, -76.758, 74.895, 15.304, 57.346 
     1, 12.402,  6.000,  3.012, 101.140,  1.726, 383.084, 317.830,  5.550, 18.867 
     1, -0.568,  2.000,  1.200,  5.865, -0.466, -152.588, -55.879, -412.348, -199.880 
    -1,  0.205,  3.000,  0.392, 73.969, -0.224, 367.797, 233.168, 29.232, 37.511 
     0, 43.235, 15.000, 10.780, 279.458, 70.954, -134.744, -35.150, 28.856, -9.062 
    -1, 13.642,  2.000,  0.615, 39.461,  3.059, 33.930,  7.352, -5.506, -8.884 
     0, -10.555,  1.000, -0.583, 44.828, -13.079, -37.771, -28.389, 73.699, -6.130 
    -1, 13.890, 12.000, 12.435, 89.684,  0.817, 80.640, 32.118, 114.733, 50.657 
    -1, -25.298, -4.000, -4.429, 35.554,  0.165, 117.603, -11.986, 102.940,  9.205 
     0, 34.063, 19.000, 16.400, 143.600, -1.532, 80.640, 17.052, 31.446, 17.426 
     1, 21.757,  7.000,  0.889, 72.862, 68.976, -265.871, -57.709, 31.446, -16.070 
     0, -19.790, -6.000, -15.000, 22.314, -5.332, -86.424, -122.216, -18.422, -21.452 
     1, 76.085, 24.000, 26.486, 362.790, -0.665, 289.492, 151.363, 102.940, 52.240 
     1, -18.919, -3.000, -9.750, 19.064,  4.192, 290.861, 79.035, 30.935, 28.385 
    -1, -7.491,  2.000,  1.077, 50.457, -0.218, 180.239, 73.728, 92.631, 69.619 
     0, -7.435,  1.000, -2.500, 20.461, -5.559, 286.434, 45.494, 38.411, 17.524 
    -1, 52.875, 25.000, 32.232, 259.987,  6.674, -27.034,  1.192,  5.834, 188.507 
     0, 48.865, 14.000, 19.286, 92.485,  0.512, 350.152, 53.792, 227.594, 99.150 
     1,  1.677,  4.000,  6.312, -30.564, -8.716, 343.522, 62.995, 221.012, 154.824 
    -1, 63.239, 23.000, 28.957, 206.246,  1.220, -216.350, -161.607, 221.012, 91.739 
    -1, 57.095, 28.000, 34.543, 166.684, 18.912, -204.522, -319.277,  5.834, -11.826 
     0,  8.737,  6.000, 12.549,  5.516, 12.561, -639.204, -186.825, -25.302, 26.203 
     0,  7.241,  5.000,  6.625, -36.206, -14.739, 216.659, 11.337, -456.348, -112.909 
    -1, 20.832,  6.000,  5.613, 121.684,  0.841, 754.551, 127.552, 160.498, 52.144 
     1, 35.693, 20.000, 21.767, 302.909, 76.477, -1802.257, -639.063, -42.665, -148.178 
    -1, 20.458, 11.000,  9.729, 119.707,  4.139, -138.132, -119.240, -19.813, -28.945 
    -1, -10.234,  0.000, -1.400, 65.917, -13.578, 460.870, -9.727, -42.665, -114.389 
     1, 42.883, 11.000, 10.157, 128.842,  0.657, -1039.986, -482.819, 74.615, -49.530 
     1,  5.907,  4.000, -2.414, 50.784,  6.567, -244.743, -147.675, 68.959, 104.660 
    -1,  0.180, -2.000, -1.575, 90.529,  0.765, 624.138, 73.457, 221.018,  5.295 
    -1, 16.238,  7.000,  7.182, 91.102,  7.506, 589.614, 122.461, 125.245, 49.289 
     0, 23.822,  5.000,  3.500, 73.932,  3.593, 663.767, 74.655, 82.482, -91.576 
    -1, 19.364,  1.000, -5.518, 32.920,  1.210, 137.129, 191.821, -31.506, -122.189 
     1, 59.632, 23.000, 38.519, 318.557,  9.020, 1005.984, 576.736, -1189.211, -209.310 
     1, 51.005, 11.000, 22.119, 268.662, 19.740, 917.778, 230.079, -1189.211, -484.121 
     1, 41.501, 15.000, 24.513, 135.019,  0.046, 1071.248, 630.351, -686.461, -36.346 
     1, 88.162, 34.000, 51.725, 565.417,  3.259, 1005.984, 494.458, -752.250, -361.871 
     1, 95.651, 35.000, 50.452, 788.143, 115.707, 242.193, 258.924, -217.109, -94.875 
    -1, -32.973, -9.000, -13.564, -110.210, -2.246, 527.231, 412.980, 248.987, 194.158 
     0, -15.668, -5.000, -10.133, -181.915,  2.273, 329.163, 154.836, 147.346, 87.005 
